"iter","draw","step","seed","d_time_H_P.cure_max","d_time_H_P.shape","d_time_H_P.scale","d_time_P1_P2.rate","hr_cancer.1","hr_cancer.2","diff_p_cancer.1","diff_p_cancer.2","sample_wt"
1,45,0,"10407_1032790901_117734077_1302734494_-2126682769_-1116294492_-510401287",0.0986173904550768,7.70040471930815,54.2739667043755,1.6677550374191,1.79456054592123,2.13950273422852,-0.104958974217639,-0.0328661863240802,0
1,46,0,"10407_-373039812_-958668525_-1501327587_2023814349_-172849708_-31687706",0.0889150887390921,11.8456647287228,59.8776841459338,0.744691407856051,1.46333171485731,1.12348819659715,0.0274192288377554,0.0382965420479143,0
1,47,0,"10407_137928034_635943945_-871056901_1660974199_1484298569_-237384997",0.0969580374353732,7.37275157430358,91.5108931295988,0.724359198397832,1.24654688847059,1.24147888828159,-0.0761132004857752,0.0420120176864438,0
1,48,0,"10407_-785422948_1727205985_1494615529_1481299263_196047364_-172360202",0.0900888736239834,8.36127251966358,87.592195958343,0.510860352768261,1.84197083705278,2.57853846367181,-0.130016270238588,0.0180478720172442,0
1,49,0,"10407_-645814037_91414573_804228822_784997212_1894770759_1179633972",0.0664987802514216,12.7928451117198,69.6702698184879,1.68623508388308,2.8296875279129,2.10650200359288,-0.015426911716768,0.0333016840168858,0
1,50,0,"10407_-1195454512_-1877378761_-1762268676_-675087622_-1798893028_-528404112",0.0228114887645444,11.3162632884991,57.2100327605275,0.618738139658388,2.19011811316061,1.44998772492136,-0.124140257453353,-0.0191172891963264,0
1,51,0,"10407_517970484_1971276191_-912860489_-239314056_1884583867_-1292595563",0.0392744851135865,9.07176329360774,77.571667692537,1.74353721046837,2.59380676439772,2.8206758579357,0.0226139545136137,0.0134396226425752,0
1,52,0,"10407_-4747056_719978946_-1175705824_-1980359286_481911063_2112210130",0.0740980578289358,7.02056941067117,103.487216170897,1.30358377173713,2.30092519616561,2.48222424941432,-0.0739767877944796,0.0269573860303234,0
1,53,0,"10407_312449321_-1130742619_-1040240450_1736056863_1624596722_532847643",0.0356427429706535,6.17404301550992,89.6537207908959,1.20200536256065,1.63997409473514,0.947232110021119,-0.0274171599335431,-0.0423240227554102,0
1,54,0,"10407_30805705_-2018188993_1313214758_-981916782_-245100725_-660287736",0.068871659767885,12.4956861919519,91.0122036242733,0.352056918730165,2.60481166289702,2.66456368511816,-0.030669046063363,0.0112553378805426,0
1,55,0,"10407_35267465_-251844824_1962712832_1484556783_68663830_1132890145",0.0596236150604002,5.43243599397977,64.0919780503856,0.551659238358871,2.34746496483863,2.6991513670407,-0.00980727884974657,-0.0239346405618487,0
1,56,0,"10407_1720777696_2027772820_366751682_-1022077008_1344302634_-1789429283",0.0789706712865503,8.13691827102178,81.2427442502535,0.610232822046744,0.714065984445502,0.782946987416182,-0.00156439496067915,-0.042758962740508,0
1,57,0,"10407_75354438_-236955104_-2124361852_-7571646_-910884085_1104079576",0.0214984648138473,9.30287061390584,112.153988257746,1.32874899839745,2.50879442462593,1.65707780192803,-0.0857430796309632,-0.0032988157495632,0
1,58,0,"10407_822193712_-991741738_-1619675272_-1510630330_-280661154_-1301896175",0.0466724196837431,10.3871253584987,84.0085971847725,1.92382213285833,2.89500475374132,1.62859308207841,0.00828448305178259,-0.0450746666548147,0
1,59,0,"10407_703569900_-274014881_1852790627_994577383_327952526_1092293474",0.0366621173205134,5.57048426167935,105.979390396805,1.36623027299392,1.20164140240817,1.8815268331874,-0.0112192067391809,0.021428268364591,0
1,60,0,"10407_-1756932684_1317388012_1253254632_-1075044991_253003322_-554931937",0.080339051476103,11.4951684201027,92.3751112641971,0.39558751464247,1.57507874564998,2.05788267522284,-0.0370937841801804,-0.0352038283389752,0
1,61,0,"10407_-16942016_1769374933_-2055204427_-961566779_-736290524_-754156900",0.0472656818205169,11.7163911041808,80.1156140307377,0.804765184525292,2.72316273136364,2.18647506236316,-0.00632946842374035,0.0434809664544396,0
1,62,0,"10407_-395166573_767206071_-532473894_1953066004_780475386_1171441533",0.0514160579705006,7.18608619000915,78.6716288553169,0.95153508478541,1.3910975686515,2.19894866592049,-0.0686767207759567,0.0254031548215673,0
1,63,0,"10407_-1659476927_-401146725_-1936042536_15913761_-233388874_-1736647209",0.0718269667858279,12.6130420744293,56.1240728486233,0.331714268519646,0.740324292194553,1.29579645244158,-0.136737433145902,0.00981371422094586,0
1,64,0,"10407_-711940162_1952993792_720023719_-1085813461_1415552759_-487951351",0.0279209710104768,9.87798736549456,93.3306329759254,0.514711706813113,1.71825559382232,1.99608050099801,-0.0378332686960511,0.0405179512943686,0
1,65,0,"10407_1557395770_-1795176427_795808196_-1758834642_-1206594812_1437785089",0.0387860488243164,11.0609603630771,72.9381047705664,1.46233165953148,0.79467109422411,1.49446217283388,0.0170539760624471,-0.0305321117797702,0
1,66,0,"10407_-1844415757_-1260156790_2070314666_1525110334_954200325_1863133434",0.0236651710251708,8.77609665162453,61.6165462601087,1.96019233080675,1.77353391289014,2.64627321150441,-0.0634774254467465,0.00863938389712522,0
1,67,0,"10407_-311410824_-871923661_-2003810347_1517034560_-1596713210_-929972012",0.0492142648858873,8.01854050058341,108.553178788957,1.00015412768412,0.924773644146432,2.34843050477381,-0.031735711116292,0.0483775624816266,0
